MIB PROJECT SNMP
0.1,SysDecr,Description d'un agent
0.2,SysName,Agent2
0.3,SysUptime,200000
1.1.1,Manager1Name,Theo
1.1.2,Manager1MDP,mdp02
1.1.3,Manager1Addr,172.168.0.3
1.1.4,Manager1Abo,SysName/SysUptime
1.1.5,Manager1Access,W
1.2.1,Manager2Name,Tom
1.2.2,Manager2MDP,mdp01
1.2.3,Manager2Addr,172.168.0.0.1
1.2.4,Manager2Abo,Interface1Etat
1.2.5,Manager2Acces,RW
2.1.1,Interface1Desc,Interface1
2.1.2,Interface1Etat,Up
2.1.3,Interface1Type,Eth
2.1.4,Interface1MTU,1500
2.1.5,Interface1Addr,196.168.10.2
2.1.6,Interface1Error,0
